INPUT_TABLE,,,,,
Variable ID,,,,,
51,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,CO2
AK,base load generation,coal,coal_base_IGCC,2070,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2075,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2080,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2085,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2090,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2095,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC,2100,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,1975,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,1990,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2005,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2010,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2015,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2020,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2025,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2030,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2035,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2040,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2045,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2050,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2055,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2060,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2065,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2070,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2075,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2080,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2085,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2090,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2095,CO2_ELEC
AK,base load generation,coal,coal_base_IGCC_CCS,2100,CO2_ELEC
AK,base load generation,gas,gas_base_CC,1975,CO2_ELEC
AK,base load generation,gas,gas_base_CC,1990,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2005,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2010,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2015,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2020,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2025,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2030,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2035,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2040,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2045,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2050,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2055,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2060,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2065,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2070,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2075,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2080,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2085,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2090,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2095,CO2_ELEC
AK,base load generation,gas,gas_base_CC,2100,CO2_ELEC
