############ Scenario Component Meta-Data ############
#Scenario component type: Tech Avail
#Bound:Never>false,Range>true,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Car  :  FCEV  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Large Car and Truck  :  FCEV  :  million pass-km
#Bound:Never>false,Range>true,First>1975,Last>2015,Tech>trn_pass_road_LDV_4W  :  Mini Car  :  FCEV  :  million pass-km
#Regions: AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,USA,Canada,Central America and Caribbean,Mexico,Brazil,South America_Northern,South America_Southern,Argentina,Colombia,EU-15,EU-12,European Free Trade Association,Europe_Eastern,Europe_Non_EU,Africa_Eastern,Africa_Northern,Africa_Southern,Africa_Western,South Africa,Middle East,Central Asia,Russia,Pakistan,India,South Asia,China,Taiwan,South Korea,Japan,Southeast Asia,Indonesia,Australia_NZ
######################################################
INPUT_TABLE
Variable ID
GLIMPSETechAvailBnd

region,sector,subsector,tech,init-year,final-year
Canada,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Central America and Caribbean,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Mexico,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Brazil,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
South America_Northern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
South America_Southern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Argentina,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Colombia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
EU-15,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
EU-12,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
European Free Trade Association,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Europe_Eastern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Europe_Non_EU,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Africa_Eastern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Africa_Northern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Africa_Southern,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Africa_Western,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
South Africa,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Middle East,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Central Asia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Russia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Pakistan,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
India,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
South Asia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
China,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Taiwan,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
South Korea,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Japan,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Southeast Asia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Indonesia,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
Australia_NZ,trn_pass_road_LDV_4W,Mini Car,FCEV,1975,2015
