VT,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
VT,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
VT,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
VT,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
VT,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
VT,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
VT,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
VT,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68
WA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
WA,trn_freight_road,Light truck,FCEV,2025,HDV-EV_New_Reg111-2025,2025,0.28
WA,trn_freight_road,Light truck,Hybrid Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
WA,trn_freight_road,Light truck,Liquids,2025,HDV-EV_New_Reg111-2025,2025,0.28
WA,trn_freight_road,Light truck,NG,2025,HDV-EV_New_Reg111-2025,2025,0.28
WA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
WA,trn_freight_road,Light truck,FCEV,2030,HDV-EV_New_Reg111-2030,2030,0.68
WA,trn_freight_road,Light truck,Hybrid Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
WA,trn_freight_road,Light truck,Liquids,2030,HDV-EV_New_Reg111-2030,2030,0.68
WA,trn_freight_road,Light truck,NG,2030,HDV-EV_New_Reg111-2030,2030,0.68

INPUT_TABLE
Variable ID
GLIMPSEPFStd2ndOut

region,sector,subsector,tech,year,policy,output-ratio,pMultiplier
CA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
CA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
CO,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
CO,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
CT,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
CT,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
DE,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
DE,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
MA,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
MA,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
MD,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
MD,trn_freight_road,Light truck,BEV,2030,HDV-EV_New_Reg111-2030,4.795454545454545E-9,1.0e9
ME,trn_freight_road,Light truck,BEV,2025,HDV-EV_New_Reg111-2025,4.795454545454545E-9,1.0e9
